prompt_tokens,completion_tokens,tokens_per_second,ttft
18,8,1.0041,7.9671
22,34,5.3406,6.3659
63,71,7.1469,9.8715
143,73,10.0435,7.178
231,7,2.2968,3.0473
263,89,10.4087,8.3319
372,88,9.4848,9.0566
398,133,2.4714,53.1004
540,124,1.2402,99.453
