prompt_tokens,completion_tokens,tokens_per_second,ttft
25,18,12.9802,1.2727
47,8,9.5352,0.7951
69,22,23.8936,0.7632
107,29,22.0074,0.9271
158,18,12.5832,0.8218
212,45,39.3888,0.7155
288,43,38.4786,0.6776
348,48,36.8990,0.9704
412,30,26.3952,0.7849
458,37,27.2920,0.9451
507,65,47.9464,0.7298
591,103,36.4020,1.9741
709,103,61.3146,0.9935
829,46,43.2502,0.7642
895,50,37.3893,0.9550
960,36,18.1976,1.6740
