prompt_tokens,completion_tokens,tokens_per_second,ttft
25,46,43.5554,0.93
68,58,55.3417,0.7865
136,156,106.7196,1.0782
304,223,149.005,0.7907
545,97,75.5428,0.9642
669,204,140.21,0.8471
896,346,242.3719,0.797
2293,76,64.8114,0.7418
2381,134,94.3617,0.8463
2527,167,114.5248,0.8548
2707,218,131.9392,0.7807
2938,237,119.3078,0.9601
3180,93,55.7134,1.1336
3285,310,120.5135,1.2773
3607,227,103.8251,1.0893
3850,405,171.0727,0.9696
