prompt_tokens,completion_tokens,tokens_per_second,ttft
25,83,21.5833,3.7505
41,139,42.9741,3.1973
60,444,20.8208,20.3263
130,157,38.8801,3.8215
175,76,23.9173,3.1449
217,235,57.0429,3.5411
281,153,44.3574,3.1886
317,492,46.2054,10.2887
371,407,51.0395,6.7224
469,389,18.1792,20.5015
549,714,5.4409,122.3042
1025,519,9.7634,52.2885
1109,591,27.0742,20.2445
1323,726,19.7108,32.728
1615,417,47.6999,5.1823
1847,601,45.927,8.2506
