prompt_tokens,completion_tokens,tokens_per_second,ttft
25,9,6.7574,1.2298
39,7,5.5172,1.1072
61,49,40.5577,0.8508
127,29,20.7995,1.2001
182,16,14.7098,0.9658
223,63,27.5917,1.3084
304,85,52.0247,0.9376
421,62,49.2802,0.7672
501,34,24.9122,0.8925
552,28,24.8151,0.8858
598,50,28.0015,0.9049
666,103,49.8016,0.8393
787,138,58.2422,0.9648
941,116,35.469,1.0112
1076,169,56.8027,1.3394
1449,186,63.7713,0.8763
