prompt_tokens,completion_tokens,tokens_per_second,ttft
88,41,35.1317,1.1556
104,36,53.1934,0.6666
130,224,141.2543,1.1609
285,120,134.4307,0.7685
389,41,51.0221,0.7936
437,203,197.4863,0.7704
577,125,133.6959,0.7652
683,111,110.2894,0.8952
753,124,104.6957,1.0376
844,773,323.9592,1.2758
1431,754,255.8311,1.7661
1712,438,228.2719,1.1504
2109,1297,356.6817,1.0402
3356,854,310.4221,1.1299
4178,1946,372.2591,1.1399
6094,1778,370.2339,1.1538
