prompt_tokens,completion_tokens,tokens_per_second,ttft
25,15,11.7624,1.0851
45,7,7.015,0.8771
67,16,12.9519,0.9715
100,9,7.9144,0.999
132,7,6.9332,0.8652
160,22,13.9871,1.1332
200,38,17.6574,0.793
269,95,31.7252,0.8971
382,31,17.2261,1.0478
430,41,20.7149,0.912
489,28,20.6223,0.923
538,204,51.6879,1.1793
761,175,41.7658,1.0708
952,216,44.5263,0.8946
1187,122,39.9755,0.9611
1333,116,39.6197,1.0974
