prompt_tokens,completion_tokens,tokens_per_second,ttft
24,152,40.8965,3.5423
46,80,37.8419,2.0132
70,812,59.0171,10.2962
188,128,38.3664,2.5948
268,89,35.1230,2.3030
323,393,45.7026,7.8556
421,118,43.0139,2.2187
486,629,72.9392,8.3453
553,269,49.6979,4.5279
641,498,70.8179,5.1444
830,504,64.9942,5.6227
1028,478,53.2891,6.0056
1263,631,68.1053,6.3464
1519,610,48.8514,3.9799
1951,794,64.2877,4.2616
2496,694,59.2406,5.1786
