prompt_tokens,completion_tokens,tokens_per_second,ttft
24,381,77.0357,4.561
83,281,92.206,2.9065
116,983,48.0597,19.8826
212,446,79.2884,4.7951
293,278,73.2927,3.669
341,227,54.3799,3.7171
395,551,81.3373,6.5654
471,321,85.1434,3.3994
521,1116,100.5358,10.1275
687,909,94.8097,8.6209
82,1311,132.8703,8.3201
318,1212,9.921,120.8473
519,1337,113.5935,9.9178
777,805,100.7233,5.967
1019,984,106.9702,6.3956
1370,1351,111.6541,9.6227
