prompt_tokens,completion_tokens,tokens_per_second,ttft
25,9,7.7150,1.0522
39,7,6.2522,1.0249
61,26,17.5542,0.9489
104,36,23.4722,1.0116
167,17,17.1067,0.7867
221,71,40.5211,0.8471
319,106,47.2353,0.9769
443,30,19.3234,1.1533
490,40,25.7814,1.0699
548,44,29.5925,0.9798
610,95,39.9439,0.9026
724,159,57.1302,0.8523
904,111,47.2366,0.8278
1034,132,46.6625,1.1692
1187,131,41.2990,1.0193
1332,119,44.1436,0.9879
