prompt_tokens,completion_tokens,tokens_per_second,ttft
25,9,7.4247,1.1127
39,7,7.1327,0.8517
61,26,22.9693,0.8628
104,35,29.3642,0.8654
129,7,6.9452,0.8657
166,17,17.7781,0.8393
200,26,19.3465,0.9733
248,134,48.228,1.02
414,120,55.3024,0.8309
551,48,26.3738,1.0059
617,62,31.0641,0.8494
697,52,26.7971,1.0673
767,259,29.7381,0.888
1052,309,39.9637,0.9392
1384,371,44.3605,0.8409
1776,312,53.4911,1.1486
