prompt_tokens,completion_tokens,tokens_per_second,ttft
26,143,100.0882,1.4271
42,187,366.3266,0.4456
107,502,852.8675,0.5139
274,432,632.1066,0.6161
442,307,646.7414,0.4538
531,564,693.0393,0.7905
680,408,841.9959,0.4326
1308,315,490.4095,0.6111
1371,454,732.9316,0.5731
1488,254,519.2051,0.4496
901,650,677.5191,0.7052
1589,609,567.1298,1.0321
1860,425,506.177,0.7362
2049,665,674.2232,0.7814
2398,756,800.1038,0.6832
2842,1237,695.2985,1.3772
