prompt_tokens,completion_tokens,tokens_per_second,ttft
48,68,51.3581,1.1974
122,65,179.1299,0.3423
203,69,151.9424,0.4492
296,68,19.5465,3.2814
501,127,351.0683,0.3294
657,118,211.9029,0.5052
794,64,161.0315,0.3726
877,97,187.9562,0.4737
993,99,150.096,0.5701
1111,292,423.2293,0.5594
1424,497,603.8482,0.6125
1938,601,536.4361,0.7767
2556,363,337.9434,0.4952
2941,495,422.466,0.9558
3451,479,505.8006,0.7568
3945,364,374.2034,0.8383
