prompt_tokens,completion_tokens,tokens_per_second,ttft
88,88,66.5963,1.3208
110,34,95.6259,0.3553
134,179,357.7833,0.4376
208,103,306.3192,0.319
293,56,116.1763,0.4698
351,246,397.3822,0.5617
549,385,546.9493,0.6419
728,80,223.2821,0.333
786,87,127.3136,0.6413
862,291,552.2319,0.4889
976,374,645.9588,0.3895
1338,507,238.14,1.7103
1817,348,460.5972,0.5508
2144,676,914.1117,0.4383
2777,1116,1062.5916,0.4958
3827,1058,842.1585,0.5752
