prompt_tokens,completion_tokens,tokens_per_second,ttft
48,43,30.2009,1.4108
97,8,16.753,0.4747
121,51,89.9091,0.5429
190,49,73.07,0.6429
263,23,42.7081,0.5381
319,91,195.7438,0.4077
444,86,105.0179,0.7649
549,35,64.5233,0.5289
608,50,112.4694,0.4204
677,47,108.7265,0.3813
743,199,236.3263,0.6973
963,430,517.3178,0.5519
1409,511,302.8228,1.3678
1937,230,452.718,0.3545
2189,448,327.7462,1.0844
2653,326,201.2887,1.1324
