prompt_tokens,completion_tokens,tokens_per_second,ttft
18,11,7.6116,1.4445
25,8,9.9375,0.8045
40,8,4.8141,1.6614
57,10,11.8202,0.8454
82,8,6.5529,1.2190
115,83,67.4739,0.7625
218,90,63.6005,1.0163
318,79,57.5196,1.0044
406,59,46.2503,0.8993
474,51,36.9141,1.0994
535,230,86.5093,0.8651
776,386,98.0787,1.3394
1170,412,99.1829,1.1970
1590,543,137.6649,1.0235
2146,677,129.9442,1.3657
2829,510,124.3682,1.0699
