prompt_tokens,completion_tokens,tokens_per_second,ttft
18,17,12.8520,1.1769
34,7,6.5868,0.9512
48,21,10.0032,1.7461
78,27,7.2461,3.2532
120,18,8.5062,1.7948
163,84,27.2271,1.6733
266,135,26.0277,2.6895
411,27,11.0568,1.9681
447,29,11.3511,1.7754
485,45,16.2792,1.8028
541,155,24.5073,3.0106
708,82,20.1725,2.2462
803,205,33.4808,0.9877
1016,189,36.7134,1.0417
1218,221,28.0791,3.4174
1445,364,41.2821,0.8854
