prompt_tokens,completion_tokens,tokens_per_second,ttft
18,33,20.5403,1.4789
48,9,8.1911,1.0980
64,17,18.7710,0.8867
90,73,55.0413,0.9721
178,22,21.7381,0.9774
223,122,81.8865,0.8723
365,83,48.8476,1.1756
458,53,30.8049,1.3513
520,49,29.9052,1.4182
578,197,85.4446,1.1108
785,504,93.3846,1.5845
1300,519,95.2975,1.6172
1827,606,110.5483,1.3511
2443,640,121.0523,1.2462
3096,778,111.6647,1.6853
3880,669,122.8888,1.2828
