prompt_tokens,completion_tokens,tokens_per_second,ttft
18,9,10.1933,0.8420
24,7,4.0691,1.6481
38,7,4.5348,1.5085
54,9,2.3933,3.6712
79,7,5.9335,1.1563
110,192,84.1058,0.8867
322,175,86.3489,1.4157
507,71,26.3671,2.3304
587,41,23.8650,1.5255
637,46,22.5891,1.7549
693,317,127.9791,0.9158
1022,149,39.5960,2.9591
1179,227,101.8635,0.7933
1417,311,97.2730,1.7268
1741,671,144.7671,1.9379
2418,621,125.3991,2.1841
