prompt_tokens,completion_tokens,tokens_per_second,ttft
18,10,1.4576,6.8601
25,7,1.7469,4.0022
39,48,5.4977,8.4839
96,99,12.7989,7.1749
210,7,2.2503,2.9523
242,62,11.1536,5.2761
323,92,11.5299,7.2574
425,44,4.4971,9.6262
478,129,3.0708,41.4404
616,94,0.9341,99.8138
722,203,18.1203,9.2378
961,215,9.3321,21.2241
1202,129,5.9339,20.5791
1339,361,3.9342,88.5633
1718,242,20.9900,9.3183
1977,222,9.8960,20.3489
